acc_fold_0,acc_fold_1,acc_fold_2,acc_fold_3,acc_fold_4,acc_fold_5,acc_fold_6,acc_fold_7,acc_fold_8,acc_fold_9,time_fold_0,time_fold_1,time_fold_2,time_fold_3,time_fold_4,time_fold_5,time_fold_6,time_fold_7,time_fold_8,time_fold_9,mean_exec_time,sd_exec_time,mean_accuracie,sd_accuracie,mean_kappa,sd_kappa,mean_balanced_accuracie,sd_balanced_accuracie,mean_macro_precision,sd_macro_precision,mean_macro_recall,sd_macro_recall,n_neighbors,weights,metric,voting
0.912,0.9021,0.8992,0.9151,0.9048,0.8942,0.8995,0.9101,0.9257,0.9415,0.821,0.8557,0.8364,0.6832,0.8373,0.7972,0.8091,0.7955,0.6959,0.8758,0.8007,0.0605,0.9104,0.0135,0.3427,0.0957,0.6222,0.0818,0.5705,0.1033,0.6222,0.0818,1,uniform,minkowski_p_4,shepards
0.904,0.8889,0.8674,0.9178,0.9021,0.8862,0.8704,0.9233,0.9072,0.9495,1.9447,0.7098,0.7964,0.7142,0.6946,0.7241,0.7043,0.7431,0.7298,0.9107,0.8672,0.3643,0.9017,0.0237,0.3289,0.092,0.6635,0.0929,0.5751,0.0761,0.6635,0.0929,3,uniform,minkowski_p_1,shepards
0.9253,0.9259,0.931,0.9125,0.9286,0.9286,0.918,0.9206,0.9257,0.9415,0.7618,0.7604,0.7875,0.7462,0.854,0.7593,0.7177,0.7984,0.8329,0.6357,0.7654,0.0579,0.9258,0.0074,0.3506,0.074,0.6967,0.0823,0.55,0.0656,0.6967,0.0823,3,uniform,minkowski_p_3,shepards
0.9227,0.9233,0.9337,0.9125,0.9286,0.9286,0.9206,0.9259,0.9257,0.9468,0.9153,0.831,0.8643,0.7526,0.7216,0.8398,0.7811,0.9409,0.8327,0.7626,0.8242,0.0672,0.9268,0.0085,0.3521,0.0801,0.6946,0.0895,0.5484,0.0661,0.6946,0.0895,3,uniform,minkowski_p_4,shepards
0.8613,0.8386,0.8727,0.9072,0.9153,0.9286,0.8519,0.9206,0.8833,0.9468,1.9635,0.7588,0.6642,0.7867,0.7543,0.7283,0.6974,0.7676,0.6941,0.8378,0.8653,0.3692,0.8926,0.0343,0.2919,0.0854,0.6437,0.0802,0.5382,0.0858,0.6437,0.0802,5,uniform,minkowski_p_1,shepards
0.9333,0.9312,0.931,0.9231,0.9312,0.9339,0.918,0.9365,0.9257,0.9468,0.7253,0.7076,0.7776,0.7507,0.8452,0.7011,0.694,0.7236,0.8266,0.7433,0.7495,0.0494,0.9311,0.0074,0.3215,0.0688,0.7377,0.097,0.5412,0.1392,0.7377,0.097,5,uniform,minkowski_p_3,shepards
0.936,0.9312,0.9416,0.9231,0.9339,0.9339,0.9233,0.9365,0.931,0.9441,0.8618,0.8582,0.8006,0.7431,0.7466,0.832,0.7896,0.8107,0.8849,0.7782,0.8106,0.046,0.9335,0.0065,0.3335,0.072,0.7311,0.0619,0.5159,0.0584,0.7311,0.0619,5,uniform,minkowski_p_4,shepards
0.8453,0.9074,0.8329,0.8886,0.9127,0.9259,0.8545,0.9339,0.8594,0.9415,1.9719,0.7072,0.7695,0.744,0.7263,0.7764,0.7089,0.7988,0.7035,0.8808,0.8787,0.368,0.8902,0.0376,0.2778,0.0994,0.6265,0.1048,0.5153,0.0755,0.6265,0.1048,7,uniform,minkowski_p_1,shepards
0.9387,0.9365,0.9363,0.9231,0.9339,0.9286,0.918,0.9339,0.931,0.9468,0.7377,0.694,0.7323,0.7156,0.8085,0.7419,0.7048,0.8251,0.7487,0.8647,0.7573,0.0535,0.9327,0.0077,0.3095,0.0834,0.7367,0.1004,0.5395,0.1428,0.7367,0.1004,7,uniform,minkowski_p_3,shepards
0.936,0.9365,0.9416,0.9231,0.9339,0.9286,0.918,0.9339,0.931,0.9468,0.8256,0.7747,0.8172,0.785,0.8038,0.7632,0.8438,0.7844,0.7051,0.7281,0.7831,0.0408,0.9329,0.008,0.3145,0.0849,0.754,0.0972,0.5393,0.1425,0.754,0.0972,7,uniform,minkowski_p_4,shepards
0.8693,0.8995,0.7215,0.9072,0.8915,0.9312,0.8677,0.9286,0.8037,0.9309,2.0228,0.7754,0.717,0.7671,0.724,0.8624,0.8091,0.781,0.7531,0.8086,0.902,0.3758,0.8751,0.0631,0.2033,0.0839,0.5994,0.1522,0.4711,0.0667,0.5994,0.1522,15,uniform,minkowski_p_1,shepards
0.9307,0.9286,0.9363,0.9231,0.9339,0.9233,0.9233,0.9286,0.9284,0.9388,0.7032,0.7363,0.6948,0.6835,0.8041,0.7366,0.7585,0.749,0.7554,0.8393,0.7461,0.0457,0.9295,0.0053,0.2063,0.0597,0.7254,0.1292,0.484,0.1107,0.7254,0.1292,15,uniform,minkowski_p_3,shepards
0.928,0.9286,0.931,0.9257,0.9339,0.9233,0.9286,0.9286,0.9337,0.9388,0.9487,0.8084,0.8701,0.81,0.7735,0.7791,0.8409,0.7901,0.7511,0.8256,0.8198,0.0541,0.93,0.0043,0.2073,0.0587,0.7581,0.1311,0.5111,0.1311,0.7581,0.1311,15,uniform,minkowski_p_4,shepards
0.8933,0.8942,0.7905,0.8992,0.9048,0.9206,0.8651,0.9286,0.8329,0.9202,2.0168,0.7643,0.6899,0.7852,0.877,0.7926,0.693,0.7067,0.727,0.7631,0.8816,0.3822,0.8849,0.0415,0.1758,0.0653,0.5218,0.0975,0.4503,0.0603,0.5218,0.0975,25,uniform,minkowski_p_1,shepards
0.9307,0.9233,0.9257,0.9231,0.9312,0.9259,0.9259,0.9259,0.9284,0.9388,0.7711,0.8249,0.8513,0.7702,0.8409,0.7487,0.8921,0.9046,0.8895,0.699,0.8192,0.0658,0.9279,0.0045,0.1537,0.0682,0.7807,0.1549,0.5187,0.1128,0.7807,0.1549,25,uniform,minkowski_p_3,shepards
0.9307,0.9233,0.9257,0.9257,0.9312,0.9259,0.9259,0.9259,0.931,0.9388,0.9053,0.7641,0.9532,0.7802,0.7874,0.8484,0.8689,0.872,0.8575,0.7967,0.8434,0.0576,0.9284,0.0043,0.1508,0.0686,0.8499,0.1309,0.5644,0.1233,0.8499,0.1309,25,uniform,minkowski_p_4,shepards
0.8827,0.8942,0.7533,0.8992,0.8995,0.9259,0.873,0.9233,0.8064,0.9043,1.993,0.6578,0.8058,0.7169,0.8613,0.8553,0.7949,0.7552,0.8913,0.8858,0.9217,0.3642,0.8762,0.0519,0.1247,0.0669,0.514,0.1569,0.4948,0.1777,0.514,0.1569,50,uniform,minkowski_p_1,shepards
0.9333,0.9206,0.9257,0.9231,0.9259,0.9206,0.918,0.9233,0.9204,0.9282,0.8068,0.8271,0.7907,0.7263,0.8148,0.7416,0.7439,0.8545,0.9731,0.823,0.8102,0.0674,0.9239,0.0043,0.0591,0.0505,0.702,0.2212,0.5669,0.1602,0.702,0.2212,50,uniform,minkowski_p_3,shepards
0.9307,0.9206,0.9257,0.9231,0.9286,0.9206,0.918,0.9233,0.9257,0.9255,0.8275,0.8115,0.8014,0.7268,0.9493,0.84,0.8135,0.7802,0.8015,0.8205,0.8172,0.0531,0.9242,0.0037,0.0618,0.0497,0.6688,0.2034,0.5623,0.1538,0.6688,0.2034,50,uniform,minkowski_p_4,shepards
0.9147,0.9048,0.9125,0.9178,0.9127,0.8995,0.9074,0.9101,0.931,0.9441,1.9159,0.6863,0.6891,0.7674,0.714,0.714,0.6545,0.7163,0.6391,0.7724,0.8269,0.3652,0.9154,0.0125,0.3562,0.0948,0.6544,0.0631,0.5927,0.0747,0.6544,0.0631,1,uniform,euclidean,majority
0.944,0.9365,0.9443,0.931,0.9365,0.9312,0.9206,0.9286,0.939,0.9468,1.7175,0.7406,0.701,0.6531,0.755,0.8248,0.6913,0.6662,0.6757,0.7168,0.8142,0.3049,0.9359,0.0077,0.3762,0.0828,0.7801,0.0458,0.5509,0.0687,0.7801,0.0458,3,uniform,euclidean,majority
0.9413,0.9286,0.9443,0.9284,0.9392,0.9286,0.9206,0.9339,0.9363,0.9495,1.7346,0.7461,0.6737,0.6585,0.9019,0.8037,0.6816,0.8379,0.6491,0.7317,0.8419,0.3079,0.9351,0.0083,0.3093,0.0851,0.8072,0.1219,0.5044,0.0637,0.8072,0.1219,5,uniform,euclidean,majority
0.936,0.9312,0.9469,0.9284,0.9365,0.9259,0.9233,0.9339,0.9363,0.9495,1.7483,0.7381,0.6861,0.7352,0.7134,0.6816,0.6693,0.6975,0.6464,0.7089,0.8025,0.3164,0.9348,0.008,0.2868,0.0976,0.8544,0.1317,0.5494,0.1216,0.8544,0.1317,7,uniform,euclidean,majority
0.9307,0.9312,0.9257,0.9284,0.9365,0.9233,0.9259,0.9312,0.9337,0.9388,1.7788,0.6898,0.7118,0.7427,0.8314,0.6715,0.6932,0.7632,0.664,0.7081,0.8255,0.3212,0.9305,0.0047,0.1809,0.0694,0.8999,0.1086,0.6373,0.0982,0.8999,0.1086,15,uniform,euclidean,majority
0.9307,0.9233,0.9231,0.9284,0.9339,0.9259,0.9259,0.9259,0.9363,0.9388,1.6837,0.8541,0.7793,0.7834,0.7147,0.7084,0.7763,0.8539,0.7165,0.6434,0.8514,0.2844,0.9292,0.0052,0.1567,0.0889,0.8872,0.1166,0.6655,0.1473,0.8872,0.1166,25,uniform,euclidean,majority
0.9307,0.9206,0.9231,0.9231,0.9312,0.9233,0.9233,0.9233,0.9257,0.9255,1.7244,0.8019,0.8056,0.6101,0.7044,0.7343,0.7172,0.654,0.6812,0.6362,0.8069,0.3119,0.925,0.0033,0.0601,0.0604,0.9141,0.0967,0.7526,0.2048,0.9141,0.0967,50,uniform,euclidean,majority
0.9147,0.9048,0.9125,0.9178,0.9127,0.8995,0.9074,0.9101,0.931,0.9441,1.7191,0.7392,0.6546,0.6817,0.752,0.7543,0.7257,0.6994,0.7392,0.6956,0.8161,0.3026,0.9154,0.0125,0.3562,0.0948,0.6544,0.0631,0.5927,0.0747,0.6544,0.0631,1,uniform,euclidean,inverse_distance
0.9307,0.9286,0.9337,0.9151,0.9339,0.9259,0.9127,0.9206,0.931,0.9441,1.7622,0.7703,0.7661,0.7506,0.7542,0.8139,0.7034,0.7443,0.7118,0.7177,0.8494,0.3058,0.9276,0.009,0.3642,0.0865,0.7078,0.0737,0.559,0.0692,0.7078,0.0737,3,uniform,euclidean,inverse_distance
0.9173,0.9206,0.9257,0.9045,0.9286,0.9206,0.9127,0.9259,0.9178,0.9468,1.7119,0.7225,0.7065,0.7008,0.6572,0.735,0.7564,0.6607,0.6999,0.7772,0.8128,0.3018,0.9221,0.0106,0.2901,0.08,0.6961,0.1147,0.5431,0.1402,0.6961,0.1147,5,uniform,euclidean,inverse_distance
