acc_fold_0,acc_fold_1,acc_fold_2,acc_fold_3,acc_fold_4,acc_fold_5,acc_fold_6,acc_fold_7,acc_fold_8,acc_fold_9,time_fold_0,time_fold_1,time_fold_2,time_fold_3,time_fold_4,time_fold_5,time_fold_6,time_fold_7,time_fold_8,time_fold_9,mean_exec_time,sd_exec_time,mean_accuracie,sd_accuracie,mean_kappa,sd_kappa,mean_balanced_accuracie,sd_balanced_accuracie,mean_macro_precision,sd_macro_precision,mean_macro_recall,sd_macro_recall,n_neighbors,weights,metric,voting
0.9699,0.9763,0.9781,0.98,0.9763,0.969,0.9791,0.9736,0.9772,0.9755,3.2259,3.263,3.2527,3.2095,3.2259,3.2017,3.209,3.2238,3.2176,3.3197,3.2349,0.0336,0.9755,0.0035,0.9728,0.0039,0.9761,0.0034,0.9758,0.0035,0.9761,0.0034,11,info_gain,minkowski_p_1,shepards
0.9872,0.9864,0.9863,0.9836,0.99,0.9891,0.9918,0.9873,0.9882,0.9855,9.7306,9.3437,9.3703,9.3841,9.3635,9.439,10.1813,9.4258,9.3685,9.9658,9.5572,0.2831,0.9875,0.0022,0.9861,0.0025,0.9878,0.0022,0.9876,0.0022,0.9878,0.0022,11,info_gain,minkowski_p_3,shepards
0.9891,0.9891,0.9845,0.9864,0.99,0.99,0.9909,0.9873,0.9845,0.9837,9.3613,9.4211,9.3402,9.3522,9.382,9.4636,9.3868,9.3586,9.3562,9.6587,9.4081,0.0907,0.9875,0.0025,0.9861,0.0028,0.9877,0.0025,0.9876,0.0025,0.9877,0.0025,11,info_gain,minkowski_p_4,shepards
0.9645,0.9654,0.9663,0.9673,0.9654,0.9636,0.9655,0.9664,0.969,0.971,3.241,3.2388,3.2342,3.2511,3.2449,3.2339,3.2447,3.1352,3.2455,3.321,3.239,0.0422,0.9664,0.0021,0.9627,0.0023,0.9674,0.002,0.9668,0.0021,0.9674,0.002,16,info_gain,minkowski_p_1,shepards
0.9863,0.9864,0.9827,0.9836,0.9863,0.9854,0.9882,0.9827,0.9845,0.9809,9.738,9.3893,9.3898,9.4206,9.3799,9.4415,10.1669,9.4476,9.3812,9.9975,9.5752,0.2752,0.9847,0.0021,0.983,0.0023,0.985,0.0021,0.9849,0.0021,0.985,0.0021,16,info_gain,minkowski_p_3,shepards
0.9872,0.9882,0.9799,0.9827,0.9872,0.9872,0.99,0.9836,0.9845,0.9791,9.3867,9.4315,9.3574,9.5848,9.3983,9.5547,9.3974,9.3717,9.3661,9.6549,9.4503,0.1013,0.985,0.0034,0.9833,0.0038,0.9853,0.0033,0.9851,0.0033,0.9853,0.0033,16,info_gain,minkowski_p_4,shepards
0.9599,0.9527,0.9617,0.9536,0.9599,0.9499,0.9601,0.9591,0.9636,0.961,3.259,3.2475,3.2617,3.2494,3.256,3.2428,3.2664,3.2768,3.2409,3.3703,3.2671,0.036,0.9582,0.0042,0.9535,0.0047,0.9597,0.0036,0.9585,0.0045,0.9597,0.0036,21,info_gain,minkowski_p_1,shepards
0.9836,0.9845,0.9799,0.9736,0.9854,0.9863,0.9873,0.9809,0.9845,0.9791,9.7606,9.372,9.3938,9.4336,9.4081,9.453,10.2054,9.4434,9.3747,9.9898,9.5834,0.2824,0.9825,0.0039,0.9806,0.0044,0.983,0.0037,0.9827,0.004,0.983,0.0037,21,info_gain,minkowski_p_3,shepards
0.9836,0.9854,0.9763,0.9745,0.9809,0.9845,0.9891,0.9818,0.9827,0.98,9.3683,9.4233,9.3512,9.3771,9.3764,9.474,9.3906,9.3671,9.3732,9.6561,9.4157,0.0869,0.9819,0.0041,0.9799,0.0045,0.9824,0.0038,0.982,0.004,0.9824,0.0038,21,info_gain,minkowski_p_4,shepards
0.9517,0.9409,0.9544,0.9464,0.9517,0.9408,0.9537,0.9536,0.9599,0.9501,3.2695,3.2407,3.2524,3.3769,3.6266,3.4389,3.2794,3.3033,3.2829,3.3766,3.3447,0.1119,0.9503,0.0058,0.9448,0.0064,0.9522,0.0051,0.9506,0.0059,0.9522,0.0051,26,info_gain,minkowski_p_1,shepards
